cluster,cluster_name,method_a,method_b,fraction,mean_iou,median_iou,mean_overlap_fraction,mean_score_drop_a,mean_score_drop_b,n_samples,n_datasets
1,Smooth / low-complexity,shapley_sampling,tshap_centroid,0.1,0.15040280501236483,0.0,0.17968569980797952,0.32836488669281017,0.44674344582347003,200,10
1,Smooth / low-complexity,shapley_sampling,tshap_centroid,0.2,0.23022443143375398,0.0104852876592007,0.2884060672674921,0.4252878416108689,0.580335149461666,200,10
1,Smooth / low-complexity,shapley_sampling,tshap_train,0.05,0.06458126381015235,0.0,0.07933309639351839,0.20477401247093002,0.35428686435183865,200,10
1,Smooth / low-complexity,shapley_sampling,tshap_train,0.1,0.12882045291942792,0.0,0.16087353797333506,0.32836488669281017,0.5058412399568004,200,10
1,Smooth / low-complexity,shapley_sampling,tshap_train,0.2,0.2107705597250914,0.0,0.26023869908329283,0.4252878416108689,0.6255655245696016,200,10
1,Smooth / low-complexity,shapley_sampling,tshap_zero,0.05,0.06509308871580473,0.0,0.08121409990975208,0.20477401247093002,0.21572643074031142,200,10
1,Smooth / low-complexity,shapley_sampling,tshap_zero,0.1,0.12613147157267668,0.0,0.15189931107259216,0.32836488669281017,0.3028970865571525,200,10
1,Smooth / low-complexity,shapley_sampling,tshap_zero,0.2,0.19686543271432885,0.0,0.24268928847032728,0.4252878416108689,0.4243164893786726,200,10
1,Smooth / low-complexity,tshap_centroid,mrsqm,0.05,0.0,0.0,0.0,0.3249330829415774,0.15470964750919697,200,10
1,Smooth / low-complexity,tshap_centroid,mrsqm,0.1,0.042436506381349826,0.0,0.05949875993213834,0.44674344582347003,0.1873728852572806,200,10
1,Smooth / low-complexity,tshap_centroid,mrsqm,0.2,0.12606227573534004,0.0,0.15904042284472777,0.580335149461666,0.28097301664360397,200,10
1,Smooth / low-complexity,tshap_centroid,tshap_train,0.05,0.36280580095828524,0.2838028169014084,0.4190179384412121,0.3249330829415774,0.35428686435183865,200,10
1,Smooth / low-complexity,tshap_centroid,tshap_train,0.1,0.42424643806077955,0.5,0.4805977746452118,0.44674344582347003,0.5058412399568004,200,10
1,Smooth / low-complexity,tshap_centroid,tshap_train,0.2,0.5254012798958955,0.6911150864639237,0.591953302344775,0.580335149461666,0.6255655245696016,200,10
1,Smooth / low-complexity,tshap_centroid,tshap_zero,0.05,0.17768903430852773,0.0,0.20338576580424406,0.3249330829415774,0.21572643074031142,200,10
1,Smooth / low-complexity,tshap_centroid,tshap_zero,0.1,0.21063046104661878,0.0,0.2401197816121158,0.44674344582347003,0.3028970865571525,200,10
1,Smooth / low-complexity,tshap_centroid,tshap_zero,0.2,0.31386620114499875,0.1235955056179775,0.3666383646507392,0.580335149461666,0.4243164893786726,200,10
1,Smooth / low-complexity,tshap_train,mrsqm,0.05,0.0002,0.0,0.0003846153846153845,0.35428686435183865,0.15470964750919697,200,10
1,Smooth / low-complexity,tshap_train,mrsqm,0.1,0.028046678235673687,0.0,0.03868995899337153,0.5058412399568004,0.1873728852572806,200,10
1,Smooth / low-complexity,tshap_train,mrsqm,0.2,0.10738160617823024,0.0,0.13482628487665202,0.6255655245696016,0.28097301664360397,200,10
1,Smooth / low-complexity,tshap_zero,mrsqm,0.05,0.0,0.0,0.0,0.21572643074031142,0.15470964750919697,200,10
1,Smooth / low-complexity,tshap_zero,mrsqm,0.1,0.02900909062847818,0.0,0.0417311678463094,0.3028970865571525,0.1873728852572806,200,10
1,Smooth / low-complexity,tshap_zero,mrsqm,0.2,0.08320498159787956,0.0,0.10884952873133613,0.4243164893786726,0.28097301664360397,200,10
1,Smooth / low-complexity,tshap_zero,tshap_train,0.05,0.17801645062245247,0.0,0.21342568844199278,0.21572643074031142,0.35428686435183865,200,10
1,Smooth / low-complexity,tshap_zero,tshap_train,0.1,0.2424331835578503,0.0,0.28286268769379164,0.3028970865571525,0.5058412399568004,200,10
1,Smooth / low-complexity,tshap_zero,tshap_train,0.2,0.3371664314850387,0.2154326494201605,0.39988992242274407,0.4243164893786726,0.6255655245696016,200,10
2,Short / moderately rough,feature_ablation,mrsqm,0.05,0.04,0.0,0.04,0.313530304441446,0.0699297750808479,200,10
2,Short / moderately rough,feature_ablation,mrsqm,0.1,0.045153846153846156,0.0,0.053125,0.3580194158031896,0.10530450033141942,200,10
2,Short / moderately rough,feature_ablation,mrsqm,0.2,0.07223790138660828,0.0,0.09070433436532507,0.46842511272933934,0.2349255625142174,200,10
2,Short / moderately rough,feature_ablation,tshap_centroid,0.05,0.07440936969066306,0.0,0.09242857142857142,0.313530304441446,0.30076302043207526,200,10
2,Short / moderately rough,feature_ablation,tshap_centroid,0.1,0.09755209844450351,0.0,0.1255238095238095,0.3580194158031896,0.4437523050401216,200,10
2,Short / moderately rough,feature_ablation,tshap_centroid,0.2,0.2091419194587671,0.0,0.26283226130742676,0.46842511272933934,0.6027401005486435,200,10
2,Short / moderately rough,feature_ablation,tshap_train,0.05,0.10541365135670944,0.0,0.12623809523809523,0.313530304441446,0.3215588466776483,200,10
2,Short / moderately rough,feature_ablation,tshap_train,0.1,0.13560051236927,0.0,0.1634345238095238,0.3580194158031896,0.4534373685526185,200,10
2,Short / moderately rough,feature_ablation,tshap_train,0.2,0.21576633828904052,0.0,0.2611479151097826,0.46842511272933934,0.6470479798563881,200,10
2,Short / moderately rough,feature_ablation,tshap_zero,0.05,0.016460007778065854,0.0,0.021416666666666667,0.313530304441446,0.26189733524045733,200,10
2,Short / moderately rough,feature_ablation,tshap_zero,0.1,0.06508638138286403,0.0,0.0880952380952381,0.3580194158031896,0.37840103130951996,200,10
2,Short / moderately rough,feature_ablation,tshap_zero,0.2,0.11370675233903071,0.0,0.1456355912600975,0.46842511272933934,0.5415128775552168,200,10
2,Short / moderately rough,hydra,feature_ablation,0.05,0.0920434396521353,0.0,0.11414285714285714,0.23010596481634255,0.313530304441446,200,10
2,Short / moderately rough,hydra,feature_ablation,0.1,0.17273465754792597,0.0,0.2220654761904762,0.29656051148240564,0.3580194158031896,200,10
2,Short / moderately rough,hydra,feature_ablation,0.2,0.30660414296750654,0.1851851851851851,0.3698271146934273,0.42264203416877827,0.46842511272933934,200,10
2,Short / moderately rough,hydra,mrsqm,0.05,0.022698412698412697,0.0,0.024,0.23010596481634255,0.0699297750808479,200,10
2,Short / moderately rough,hydra,mrsqm,0.1,0.031054132224641526,0.0,0.035833333333333335,0.29656051148240564,0.10530450033141942,200,10
2,Short / moderately rough,hydra,mrsqm,0.2,0.1192723067921699,0.0,0.16256852069321376,0.42264203416877827,0.2349255625142174,200,10
2,Short / moderately rough,hydra,shapley_sampling,0.05,0.05320071882140847,0.0,0.07005952380952381,0.23010596481634255,0.22045489328482193,200,10
2,Short / moderately rough,hydra,shapley_sampling,0.1,0.11772485697679688,0.0,0.15594642857142857,0.29656051148240564,0.3073638354427684,200,10
2,Short / moderately rough,hydra,shapley_sampling,0.2,0.213969015789921,0.027027027027027,0.27841966255649264,0.42264203416877827,0.3841280401737809,200,10
2,Short / moderately rough,hydra,tshap_centroid,0.05,0.07916585414823447,0.0,0.10025,0.23010596481634255,0.30076302043207526,200,10
2,Short / moderately rough,hydra,tshap_centroid,0.1,0.14810345950524473,0.0,0.17739285714285713,0.29656051148240564,0.4437523050401216,200,10
2,Short / moderately rough,hydra,tshap_centroid,0.2,0.21854306559948536,0.0,0.27216903757873384,0.42264203416877827,0.6027401005486435,200,10
2,Short / moderately rough,hydra,tshap_train,0.05,0.09166700677913493,0.0,0.11239285714285714,0.23010596481634255,0.3215588466776483,200,10
2,Short / moderately rough,hydra,tshap_train,0.1,0.14034786435033117,0.0,0.17064285714285712,0.29656051148240564,0.4534373685526185,200,10
2,Short / moderately rough,hydra,tshap_train,0.2,0.21630396733142299,0.0,0.2607883037970179,0.42264203416877827,0.6470479798563881,200,10
